Station;Temperature mini;Temperature maxi;Temperature mini moy.;Temperature maxi moy.;Temperature moy.;Precipitations;Ensoleillement;
79 - Niort Souche;-0.2;14.1;6.1;11.3;8.7;128.1;35h00
80 - Abbeville;0.2;14.2;4.5;9.1;6.8;128.3;32h00
80 - Albert Bray;-0.4;13.1;3.8;8.5;6.2;130.1;-
81 - Albi Le Sequestre;-0.3;18.1;5.8;11.3;8.6;115.9;33h00
82 - Montauban  Lamothe-Capdeville;-0.9;17.5;6.1;12.0;9.1;97.1;41h00
83 - Cap Cepet;4.8;18.2;9.2;14.6;11.9;92.0;-
83 - Hyeres Le Palivestre;2.3;20.4;8.9;15.6;12.3;47.9;-
83 - Le Luc Le Cannet;-1.6;20.8;7.0;15.0;11.0;61.1;126h00
84 - Avignon;-2.5;20.4;3.9;14.6;9.3;105.6;-
84 - Carpentras;-2.5;20.7;4.4;14.9;9.7;95.5;132h00
84 - Orange Caritat;-2.0;18.4;4.5;13.8;9.2;123.0;-
85 - L'Ile d'Yeu - Saint Sauveur;3.2;13.7;8.1;11.6;9.9;112.2;-
85 - La Roche sur Yon Les Ajoncs;-0.6;13.7;6.1;11.1;8.6;139.5;48h00
86 - Poitiers Biard;0.8;14.2;5.8;10.7;8.3;119.8;37h00
87 - Limoges Bellegarde;-1.7;13.1;4.7;9.2;7.0;195.7;31h00
89 - Auxerre / Perrigny;0.1;15.1;5.4;10.0;7.7;126.8;31h00
90 - Dorans / Belfort;-2.5;13.9;3.6;7.9;5.8;220.2;-
91 - Paris Orly;0.3;14.8;5.4;9.9;7.7;113.6;35h00
93 - Paris Le Bourget;0.7;14.7;5.7;10.1;7.9;114.7;-
95 - Paris Roissy CDG;0.1;14.2;5.4;9.7;7.6;140.4;29h00
95 - Pontoise Cormeilles Boissy-l'Aillerie;-1.2;14.0;4.7;9.6;7.2;105.9;-
